scenario,scenario_key,name,budget,source_set,rate,seed,n_expected_steps,step_recall,chain_recall,reconstructability,n_events_pre_sampling,n_events
SC2,sc2,Starter,single,azure_events,0.25,1,4,0.25,0.25,0.25,44246,11039
SC2,sc2,Starter,single,syslog,0.25,1,4,0.25,0.25,0.25,9732,2443
SC2,sc2,Starter,single,azure_events,0.25,2,4,0.5,0.5,0.5,44246,10915
SC2,sc2,Starter,single,syslog,0.25,2,4,0.5,0.5,0.5,9732,2478
SC2,sc2,Starter,single,azure_events,0.25,3,4,0.5,0.5,0.5,44246,11194
SC2,sc2,Starter,single,syslog,0.25,3,4,0.25,0.25,0.25,9732,2493
SC2,sc2,Starter,single,azure_events,0.25,4,4,0.25,0.25,0.25,44246,11125
SC2,sc2,Starter,single,syslog,0.25,4,4,0.5,0.5,0.5,9732,2333
SC2,sc2,Starter,single,azure_events,0.1,0,4,0.5,0.5,0.5,44246,4460
SC2,sc2,Starter,single,syslog,0.1,0,4,0.25,0.25,0.25,9732,986
SC2,sc2,Starter,single,azure_events,0.1,1,4,0.25,0.25,0.25,44246,4440
SC2,sc2,Starter,single,syslog,0.1,1,4,0.0,0.0,0.0,9732,1073
SC2,sc2,Starter,single,azure_events,0.1,2,4,0.5,0.5,0.5,44246,4327
SC2,sc2,Starter,single,syslog,0.1,2,4,0.0,0.0,0.0,9732,1021
SC2,sc2,Starter,single,azure_events,0.1,3,4,0.25,0.25,0.25,44246,4502
SC2,sc2,Starter,single,syslog,0.1,3,4,0.0,0.0,0.0,9732,996
SC2,sc2,Starter,single,azure_events,0.1,4,4,0.25,0.25,0.25,44246,4458
SC2,sc2,Starter,single,syslog,0.1,4,4,0.5,0.5,0.5,9732,959
SC2,sc2,Starter,combo2,syslog+azure_events,1.0,0,4,0.75,0.75,0.75,53978,53978
SC2,sc2,Starter,combo2,syslog+azure_events,1.0,1,4,0.75,0.75,0.75,53978,53978
SC2,sc2,Starter,combo2,syslog+azure_events,1.0,2,4,0.75,0.75,0.75,53978,53978
SC2,sc2,Starter,combo2,syslog+azure_events,1.0,3,4,0.75,0.75,0.75,53978,53978
SC2,sc2,Starter,combo2,syslog+azure_events,1.0,4,4,0.75,0.75,0.75,53978,53978
SC2,sc2,Starter,combo2,syslog+azure_events,0.75,0,4,0.75,0.75,0.75,53978,40338
SC2,sc2,Starter,combo2,syslog+azure_events,0.75,1,4,0.75,0.75,0.75,53978,40383
SC2,sc2,Starter,combo2,syslog+azure_events,0.75,2,4,0.75,0.75,0.75,53978,40490
SC2,sc2,Starter,combo2,syslog+azure_events,0.75,3,4,0.75,0.75,0.75,53978,40449
SC2,sc2,Starter,combo2,syslog+azure_events,0.75,4,4,0.75,0.75,0.75,53978,40325
SC2,sc2,Starter,combo2,syslog+azure_events,0.5,0,4,0.75,0.75,0.75,53978,26754
SC2,sc2,Starter,combo2,syslog+azure_events,0.5,1,4,0.75,0.75,0.75,53978,26935
SC2,sc2,Starter,combo2,syslog+azure_events,0.5,2,4,0.75,0.75,0.75,53978,27017
SC2,sc2,Starter,combo2,syslog+azure_events,0.5,3,4,0.75,0.75,0.75,53978,27069
SC2,sc2,Starter,combo2,syslog+azure_events,0.5,4,4,0.75,0.75,0.75,53978,26915
SC2,sc2,Starter,combo2,syslog+azure_events,0.25,0,4,0.75,0.75,0.75,53978,13480
SC2,sc2,Starter,combo2,syslog+azure_events,0.25,1,4,0.25,0.25,0.25,53978,13482
SC2,sc2,Starter,combo2,syslog+azure_events,0.25,2,4,0.75,0.75,0.75,53978,13393
SC2,sc2,Starter,combo2,syslog+azure_events,0.25,3,4,0.75,0.75,0.75,53978,13687
SC2,sc2,Starter,combo2,syslog+azure_events,0.25,4,4,0.5,0.5,0.5,53978,13458
SC2,sc2,Starter,combo2,syslog+azure_events,0.1,0,4,0.5,0.5,0.5,53978,5446
SC2,sc2,Starter,combo2,syslog+azure_events,0.1,1,4,0.25,0.25,0.25,53978,5513
SC2,sc2,Starter,combo2,syslog+azure_events,0.1,2,4,0.5,0.5,0.5,53978,5348
SC2,sc2,Starter,combo2,syslog+azure_events,0.1,3,4,0.25,0.25,0.25,53978,5498
SC2,sc2,Starter,combo2,syslog+azure_events,0.1,4,4,0.5,0.5,0.5,53978,5417
SC2,sc2,Starter,multi,azure_events+syslog,1.0,0,4,0.75,0.75,0.75,53978,53978
SC2,sc2,Starter,multi,azure_events+syslog,1.0,1,4,0.75,0.75,0.75,53978,53978
SC2,sc2,Starter,multi,azure_events+syslog,1.0,2,4,0.75,0.75,0.75,53978,53978
SC2,sc2,Starter,multi,azure_events+syslog,1.0,3,4,0.75,0.75,0.75,53978,53978
SC2,sc2,Starter,multi,azure_events+syslog,1.0,4,4,0.75,0.75,0.75,53978,53978
SC2,sc2,Starter,multi,azure_events+syslog,0.75,0,4,0.75,0.75,0.75,53978,40338
SC2,sc2,Starter,multi,azure_events+syslog,0.75,1,4,0.75,0.75,0.75,53978,40383
SC2,sc2,Starter,multi,azure_events+syslog,0.75,2,4,0.75,0.75,0.75,53978,40490
SC2,sc2,Starter,multi,azure_events+syslog,0.75,3,4,0.75,0.75,0.75,53978,40449
SC2,sc2,Starter,multi,azure_events+syslog,0.75,4,4,0.75,0.75,0.75,53978,40325
SC2,sc2,Starter,multi,azure_events+syslog,0.5,0,4,0.75,0.75,0.75,53978,26754
SC2,sc2,Starter,multi,azure_events+syslog,0.5,1,4,0.75,0.75,0.75,53978,26935
SC2,sc2,Starter,multi,azure_events+syslog,0.5,2,4,0.75,0.75,0.75,53978,27017
