ts,source,step,exe,cmdline,user,pid,src_ip,src_port,excerpt,source_file
2025-12-10 11:44:27.655,syslog,AUTH,sshd,,,76141,,,"Disconnecting invalid user craft 185.246.128.171 port 49411: Change of username or service not allowed: (craft,ssh-connection) -> (test,ssh-connection) [preauth] | sshd",/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:30.475,syslog,AUTH,sshd,,test,76201,185.246.128.171,25877,Invalid user test from 185.246.128.171 port 25877 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:30.477,syslog,AUTH,sshd,,,76201,,,pam_unix(sshd:auth): check pass user unknown | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:30.478,syslog,AUTH,sshd,,,76201,,,pam_unix(sshd:auth): authentication failure logname= uid=0 euid=0 tty=ssh ruser= rhost=185.246.128.171 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:32.370,syslog,AUTH,sshd,,test,76201,185.246.128.171,25877,Failed password for invalid user test from 185.246.128.171 port 25877 ssh2 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:33.937,syslog,AUTH,sshd,,,76201,,,pam_unix(sshd:auth): check pass user unknown | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:36.238,syslog,AUTH,sshd,,test,76201,185.246.128.171,25877,Failed password for invalid user test from 185.246.128.171 port 25877 ssh2 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:38.640,syslog,AUTH,sshd,,,76201,,,pam_unix(sshd:auth): check pass user unknown | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:40.965,syslog,AUTH,sshd,,test,76201,185.246.128.171,25877,Failed password for invalid user test from 185.246.128.171 port 25877 ssh2 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:41.794,syslog,AUTH,sshd,,,76201,,,pam_unix(sshd:auth): check pass user unknown | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:43.862,syslog,AUTH,sshd,,test,76201,185.246.128.171,25877,Failed password for invalid user test from 185.246.128.171 port 25877 ssh2 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:45.811,syslog,AUTH,sshd,,,76201,,,pam_unix(sshd:auth): check pass user unknown | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:48.095,syslog,AUTH,sshd,,test,76201,185.246.128.171,25877,Failed password for invalid user test from 185.246.128.171 port 25877 ssh2 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:50.344,syslog,AUTH,sshd,,,76201,,,pam_unix(sshd:auth): check pass user unknown | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:52.315,syslog,AUTH,sshd,,test,76201,185.246.128.171,25877,Failed password for invalid user test from 185.246.128.171 port 25877 ssh2 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:53.465,syslog,AUTH,sshd,,,76201,,,error: maximum authentication attempts exceeded for invalid user test from 185.246.128.171 port 25877 ssh2 [preauth] | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:53.466,syslog,AUTH,sshd,,,76201,,,Disconnecting invalid user test 185.246.128.171 port 25877: Too many authentication failures [preauth] | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:53.466,syslog,AUTH,sshd,,,76201,,,PAM 5 more authentication failures logname= uid=0 euid=0 tty=ssh ruser= rhost=185.246.128.171 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:53.466,syslog,AUTH,sshd,,,76201,,,PAM service(sshd) ignoring max retries 6 > 3 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:56.119,syslog,AUTH,sshd,,test,76472,185.246.128.171,20397,Invalid user test from 185.246.128.171 port 20397 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:56.121,syslog,AUTH,sshd,,,76472,,,pam_unix(sshd:auth): check pass user unknown | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:56.121,syslog,AUTH,sshd,,,76472,,,pam_unix(sshd:auth): authentication failure logname= uid=0 euid=0 tty=ssh ruser= rhost=185.246.128.171 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:58.248,syslog,AUTH,sshd,,test,76472,185.246.128.171,20397,Failed password for invalid user test from 185.246.128.171 port 20397 ssh2 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:58.797,syslog,AUTH,sshd,,ubuntu,76492,125.31.2.160,41580,Invalid user ubuntu from 125.31.2.160 port 41580 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:58.799,syslog,AUTH,sshd,,,76492,,,pam_unix(sshd:auth): check pass user unknown | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:58.799,syslog,AUTH,sshd,,,76492,,,pam_unix(sshd:auth): authentication failure logname= uid=0 euid=0 tty=ssh ruser= rhost=125.31.2.160 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:59.276,syslog,AUTH,sshd,,,76472,,,pam_unix(sshd:auth): check pass user unknown | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:45:00.868,syslog,AUTH,sshd,,ubuntu,76492,125.31.2.160,41580,Failed password for invalid user ubuntu from 125.31.2.160 port 41580 ssh2 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:45:01.484,syslog,AUTH,sshd,,test,76472,185.246.128.171,20397,Failed password for invalid user test from 185.246.128.171 port 20397 ssh2 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:45:01.737,syslog,AUTH,sshd,,,76492,,,Disconnected from invalid user ubuntu 125.31.2.160 port 41580 [preauth] | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:45:03.887,syslog,AUTH,sshd,,,76472,,,"Disconnecting invalid user test 185.246.128.171 port 20397: Change of username or service not allowed: (test,ssh-connection) -> (john,ssh-connection) [preauth] | sshd",/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:45:03.887,syslog,AUTH,sshd,,,76472,,,PAM 1 more authentication failure logname= uid=0 euid=0 tty=ssh ruser= rhost=185.246.128.171 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:45:10.875,syslog,AUTH,sshd,,john,76528,185.246.128.171,21318,Invalid user john from 185.246.128.171 port 21318 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:45:10.877,syslog,AUTH,sshd,,,76528,,,pam_unix(sshd:auth): check pass user unknown | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:45:10.877,syslog,AUTH,sshd,,,76528,,,pam_unix(sshd:auth): authentication failure logname= uid=0 euid=0 tty=ssh ruser= rhost=185.246.128.171 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:45:13.261,syslog,AUTH,sshd,,john,76528,185.246.128.171,21318,Failed password for invalid user john from 185.246.128.171 port 21318 ssh2 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:45:14.990,syslog,AUTH,sshd,,,76528,,,"Disconnecting invalid user john 185.246.128.171 port 21318: Change of username or service not allowed: (john,ssh-connection) -> (openvswitch,ssh-connection) [preauth] | sshd",/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:45:20.134,syslog,AUTH,sshd,,openvswitch,76620,185.246.128.171,32866,Invalid user openvswitch from 185.246.128.171 port 32866 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:45:20.136,syslog,AUTH,sshd,,,76620,,,pam_unix(sshd:auth): check pass user unknown | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:45:20.136,syslog,AUTH,sshd,,,76620,,,pam_unix(sshd:auth): authentication failure logname= uid=0 euid=0 tty=ssh ruser= rhost=185.246.128.171 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:45:22.225,syslog,AUTH,sshd,,openvswitch,76620,185.246.128.171,32866,Failed password for invalid user openvswitch from 185.246.128.171 port 32866 ssh2 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:45:27.750,syslog,AUTH,sshd,,,76620,,,"Disconnecting invalid user openvswitch 185.246.128.171 port 32866: Change of username or service not allowed: (openvswitch,ssh-connection) -> (hduser,ssh-connection) [preauth] | sshd",/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:45:29.948,syslog,AUTH,sshd,,hduser,76716,185.246.128.171,15630,Invalid user hduser from 185.246.128.171 port 15630 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:45:29.949,syslog,AUTH,sshd,,,76716,,,pam_unix(sshd:auth): check pass user unknown | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:45:29.950,syslog,AUTH,sshd,,,76716,,,pam_unix(sshd:auth): authentication failure logname= uid=0 euid=0 tty=ssh ruser= rhost=185.246.128.171 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:45:32.273,syslog,AUTH,sshd,,hduser,76716,185.246.128.171,15630,Failed password for invalid user hduser from 185.246.128.171 port 15630 ssh2 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
